0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
453,95,73,1,14,2,2,9,6,0,4,3,1,1,0,0
67,161,31,0,11,0,7,16,5,0,2,1,0,1,0,0
48,32,100,4,22,2,7,23,7,2,17,0,4,5,0,0
12,4,2,90,2,0,66,13,0,2,3,5,12,0,0,6
65,29,56,11,17,0,6,6,1,2,8,4,0,5,0,1
1,2,1,0,0,181,0,0,6,0,0,0,0,0,0,0
17,8,4,38,1,0,50,11,1,7,10,5,13,6,0,2
11,23,14,29,1,0,26,44,0,1,0,0,7,7,0,0
29,39,21,0,9,15,0,1,34,0,1,0,0,0,0,0
15,12,5,25,1,0,35,1,1,18,11,8,4,1,0,7
15,41,18,7,2,2,3,11,1,4,15,1,0,0,0,1
1,2,3,53,2,0,15,1,0,3,4,8,5,1,0,10
13,1,1,38,1,0,21,1,0,0,1,0,21,5,0,1
15,10,4,15,0,0,24,7,0,0,0,1,4,2,0,2
29,16,18,5,4,0,1,1,5,0,2,0,1,2,0,0
1,0,2,33,0,0,5,1,0,1,0,2,3,4,0,29
