0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
497,32,69,4,35,1,1,6,6,3,9,0,1,0,0,1
117,98,46,3,5,5,1,9,11,3,2,0,1,0,0,0
78,17,102,10,13,2,0,20,7,3,14,1,2,0,0,4
12,10,5,91,2,0,46,17,0,10,1,5,17,0,0,2
82,25,28,10,19,3,5,13,1,3,19,1,0,0,0,2
2,0,0,0,1,184,0,0,2,0,1,0,0,0,0,0
13,13,2,54,8,0,27,9,0,10,3,6,22,0,0,6
16,18,13,49,2,0,1,56,0,0,4,0,2,0,0,2
50,3,23,0,4,20,0,1,44,0,4,0,0,0,0,0
14,20,2,15,12,0,40,5,0,15,4,3,8,1,0,5
15,31,12,4,12,6,2,6,4,7,22,0,0,0,0,1
1,2,1,38,1,0,29,0,0,5,2,4,17,0,0,7
4,3,4,34,0,0,7,2,0,1,2,0,40,3,0,4
12,11,7,23,1,0,2,18,0,0,0,0,10,0,0,1
31,12,17,5,4,1,0,7,3,0,3,0,1,0,0,0
2,2,0,12,0,0,1,2,0,1,0,0,7,0,0,54
