0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2,49,222,46,9,1,117,52,21,2,23,2,55,19,44
0,0,11,189,7,5,0,23,7,5,1,8,2,22,2,19
0,0,18,73,4,55,0,38,6,20,0,5,2,30,5,17
0,0,1,208,0,6,0,2,0,0,0,0,0,1,0,0
0,4,18,87,5,35,1,25,12,8,0,4,0,7,2,3
0,0,14,0,1,147,0,11,1,0,3,2,2,2,4,3
0,0,1,163,0,2,0,1,1,2,0,2,0,2,0,0
0,0,0,150,0,6,0,3,0,0,0,1,0,1,0,1
0,1,36,18,3,33,0,23,7,1,2,5,2,6,3,9
0,0,0,120,0,14,0,1,2,1,0,3,0,2,0,1
0,0,1,70,0,23,0,9,1,0,1,6,0,7,1,3
0,0,0,101,1,2,0,0,1,1,0,1,0,0,0,0
0,1,1,96,1,0,0,1,0,1,0,0,0,3,0,0
0,0,2,72,0,4,0,4,1,0,0,2,0,0,0,0
0,2,4,41,6,2,0,12,1,3,0,2,1,7,1,2
0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0
