0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
593,7,28,6,11,3,0,2,3,10,0,1,0,0,0,0
225,41,12,4,7,3,0,3,2,0,0,4,0,0,0,0
114,24,62,11,23,4,1,14,3,2,1,13,0,1,0,0
18,4,6,149,2,0,19,8,0,4,1,6,0,1,0,0
107,12,32,3,27,1,3,13,2,5,1,5,0,0,0,0
8,0,0,0,0,182,0,0,1,0,0,0,0,0,0,0
24,7,0,97,5,0,17,6,0,5,0,12,0,0,0,0
40,6,7,55,4,0,8,41,0,0,0,2,0,0,0,0
87,5,5,0,1,29,0,2,19,0,0,0,0,0,0,0
25,3,9,55,3,0,15,4,0,18,0,13,0,0,0,0
43,21,26,0,6,4,3,6,0,4,4,4,0,0,0,0
1,0,3,56,2,0,10,11,0,5,0,11,0,0,0,8
16,0,0,63,5,0,11,3,0,0,0,6,0,0,0,0
21,7,6,31,7,0,5,5,0,0,0,3,0,0,0,0
62,7,2,7,2,0,1,3,0,0,0,0,0,0,0,0
0,2,0,27,0,0,3,7,0,2,0,11,0,0,0,29
