0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
495,57,77,0,6,5,1,0,5,11,5,0,1,0,1,0
132,103,42,2,1,12,0,0,2,5,2,0,1,0,0,0
56,23,127,5,5,15,3,1,7,8,10,0,0,0,0,12
17,7,10,96,1,0,34,15,0,31,1,1,0,0,0,5
67,33,55,2,7,4,3,0,3,15,12,1,0,0,0,9
1,0,3,0,0,184,0,0,3,0,0,0,0,0,0,0
12,16,8,56,0,0,29,9,0,33,1,1,0,0,0,8
8,24,34,55,0,0,4,24,0,7,2,0,0,0,0,5
52,19,18,0,0,37,0,0,21,1,0,0,0,0,1,0
22,17,6,24,0,1,14,1,0,45,5,4,2,0,0,3
11,32,35,1,1,11,0,0,1,11,7,0,1,0,0,10
2,3,4,26,3,0,17,2,0,32,0,8,0,0,0,11
12,0,6,37,0,0,24,9,0,10,0,0,2,0,0,3
19,15,11,23,1,3,5,1,0,4,0,0,0,0,0,3
42,15,15,3,0,1,1,3,3,0,1,0,0,0,0,0
1,1,1,29,0,0,9,7,0,3,0,0,0,0,0,30
